LASSO,,Ridge,,Random Forest,,Decision Tree,,Elastic Net,,Gradient Boosting,,XGBoost,,Light gbm,
Weight?,Feature,Weight?,Feature,Weight,Feature,Weight,Feature,Weight?,Feature,Weight,Feature,Weight,Feature,Weight,Feature
3.285,LBXSGB,3.365,LBXSGB,0.1844 ± 0.0263,LBXGH,0.3264,LBXGH,5.567,LBDMONO,0.2185 ± 0.2081,LBXGH,0.0719,BPXPLS,0.1074,SMD410
1.523,LBXGH,1.507,LBXGH,0.1576 ± 0.0186,LBDNENO,0.244,LBDNENO,2.152,LBXGH,0.1572 ± 0.1542,LBDNENO,0.0688,LBDNENO,0.0917,LBDNENO
0.898,LBDNENO,1.15,LBDHCV,0.0526 ± 0.0324,LBXSIR,0.081,LBXSIR,1.727,black,0.0536 ± 0.1372,BPXPLS,0.0584,LBXGH,0.0828,LBXGH
0.773,SMD410,0.846,LBDNENO,0.0412 ± 0.0512,LBXHGB,0.0687,LBXHGB,1.629,LBDHCV,0.0510 ± 0.1530,LBXSIR,0.0362,LBXHGB,0.044,LBXHGB
0.664,LBDHCV,0.814,LBDEONO,0.0244 ± 0.0236,LBXVIA,0.0372,BMXBMI,1.388,mexican,0.0397 ± 0.1440,LBXVIA,0.0351,LBXSIR,0.043,current_past_smoking
0.525,LBXSCRINV,0.743,SMD410,0.0224 ± 0.0303,LBXHCY,0.0307,LBXSBU,1.353,female,0.0379 ± 0.1227,LBXHGB,0.0267,any_diabetes,0.0336,LBXSIR
0.495,LBXSOSSI,0.714,mexican,0.0181 ± 0.0185,LBXMCHSI,0.0292,SMD410,1.078,other_eth,0.0349 ± 0.1423,LBXHCY,0.0263,BMXBMI,0.0305,any_diabetes
0.439,LBXSTB,0.69,LBXSTB,0.0181 ± 0.0273,LBXSBU,0.0234,LBXMCHSI,1.02,LBXSGB,0.0178 ± 0.1092,LBXSBU,0.0248,LBXHCY,0.0252,LBXSBU
0.438,mexican,0.66,black,0.0162 ± 0.0219,BMXBMI,0.0197,LBXVIA,0.883,LBXSTB,0.0169 ± 0.1551,LBXMCHSI,0.0246,DXXTRFAT,0.0236,LBDHD
0.43,DXXHEBMD,0.642,DR1TP204,0.0135 ± 0.0132,LBXCOT,0.0139,LBXPLTSI,0.865,other_hispanic,0.0155 ± 0.1594,LBXNEPCT,0.0228,LBXVIA,0.0223,BMXBMI
0.381,any_diabetes,0.614,LBXSCRINV,0.0125 ± 0.0216,DXXTRFAT,0.0107,LBXHCY,0.556,LBXBCD,0.0145 ± 0.1231,BMXBMI,0.0221,LBXSBU,0.0198,DXXTRFAT
0.371,LBXBAPCT,0.609,DR1TS060,0.0117 ± 0.0095,BPXPLS,0.0106,LBXNEPCT,0.532,private_water_source,0.0126 ± 0.0830,LBXHCT,0.0202,SMD410,0.0184,chronic_disease_count
0.311,black,0.549,DXXPEBMD,0.0116 ± 0.0233,LBXHCT,0.0098,BPXPLS,0.475,LBDLYMNO,0.0111 ± 0.1088,LBXCOT,0.0179,LBXCOT,0.0138,DMDMARTL
0.298,any_family_cad,0.505,LBXSOSSI,0.0113 ± 0.0092,LBXNEPCT,0.0063,LBXGTC,0.411,LBDNENO,0.0107 ± 0.0858,DXXTRFAT,0.0133,how_many_years_in_house,0.0117,LBXVIA
0.286,hepb,0.491,any_diabetes,0.0088 ± 0.0096,LBXPLTSI,0.0061,DMDMARTL,0.328,LBXSKSI,0.0101 ± 0.1355,LBXSGTSI,0.0126,LBXSCA,0.011,LBXMCHSI
0.233,LBXMPSI,0.458,DXXHEBMD,0.0082 ± 0.0078,LBXSGTSI,0.0056,LBXRBCSI,0.315,LBXBAPCT,0.0100 ± 0.1647,LBXSTP,0.0117,DXXPEBMD,0.0088,BPXPLS
0.23,LBXHCT,0.44,ever_asthma,0.0081 ± 0.0078,URXUMA,0.0053,any_diabetes,0.307,white,0.0086 ± 0.1761,LBXSNASI,0.0116,current_past_smoking,0.0084,LBXSCRINV
0.185,LBDLYMNO,0.403,LBDMONO,0.0074 ± 0.0084,LBXRBCSI,0.0053,LBXTC,0.285,DXXLSBMD,0.0080 ± 0.1695,LBXSOSSI,0.0108,chronic_disease_count,0.0076,BMXTHICR
0.185,private_water_source,0.401,LBXBAPCT,0.0069 ± 0.0080,LBXSTR,0.0052,any_chronic_disease,0.284,use_water_treatment,0.0076 ± 0.0896,DMDMARTL,0.0107,LBXMCHSI,0.0071,LBXNEPCT
0.14,LBXMOPCT,0.378,LBDHBG,0.0063 ± 0.0061,LBXFOL,0.0044,BMXTRI,0.258,any_diabetes,0.0076 ± 0.1381,URXUMA,0.0101,DMDMARTL,0.0071,BMXTRI
